SEX,AGE,YEAR,CREDITS,MAJOR,STUDENT,TEXTBOOKS,SLEEP,STUDY,WEEKSTUDY,PARENTS,SUPER,BLUEARCH,WRECKINGBALL,TUITION,CROSSING,HEADPHONES,HALLWAY,EYECONTACT,BUS,WALKING,COMMUNICATION
M,19,F,15,1,In,500,4,1,7,M,Y,Y,N,7500,Y,Y,Y,N,Y,M,D
M,20,So,13,0,In,500,4,3,21,W,Y,Y,Y,7000,N,Y,N,N,N,M,W
F,24,S,12,0,In,500,4,10,70,W,N,N,N,9000,Y,S,N,N,N,R,W
M,22,J,12,2,In,500,4,1,7,Mo,N,N,N,10000,N,Y,Y,N,N,L,Mo
F,18,F,15,0,In,455,4,3,21,O,Y,Y,N,10000,N,S,N,S,Y,I,D
M,19,So,14,1,In,422,4,5,35,W,N,N,N,9000,N,Y,N,N,Y,R,W
M,18,F,14,0,In,420,4,1,7,M,N,N,N,8000,D,S,N,N,N,R,D
F,19,So,17,1,In,410,4,4,28,W,Y,Y,N,10000,Y,Y,N,Y,Y,R,W
F,19,J,15,1,In,400,4,3,21,M,N,I,W,10000,N,S,N,S,N,R,D
F,19,S,13,0,In,400,4,2,14,W,N,N,W,10000,Y,S,N,S,Y,R,W
F,23,S,12,1,In,400,4,2,14,W,Y,Y,N,11000,Y,N,N,N,N,R,W
M,19,F,16,0,In,360,4,6,42,W,N,N,N,11000,N,N,N,N,N,R,W
M,18,F,15,0,In,360,4,2,14,Mo,N,N,Y,16000,D,Y,Y,S,Y,R,Mo
F,20,J,16,1,In,350,4,6,42,M,Y,Y,N,20000,Y,Y,N,N,Y,R,D
F,20,S,16,1,In,350,4,6,42,W,Y,Y,N,20000,Y,Y,N,N,Y,R,W
F,25,J,15,0,In,350,4,3,21,N,N,N,W,12000,Y,N,N,S,Y,.,N
M,22,J,12,2,In,350,4,8,56,W,N,N,N,8000,Y,S,Y,N,N,R,W
